source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo;;
viadeo;Spain;policía;6;male;null;True;null;entry-level;False;True;;
viadeo;Spain;policía;7;male;null;null;null;entry-level;False;True;;
viadeo;Spain;policía;8;male;null;null;null;entry-level;False;True;;
viadeo;Spain;policía;9;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;policía;10;male;null;null;null;entry-level;False;True;;
viadeo;Spain;policía;11;female;null;null;31.0;senior2-level;False;True;;
viadeo;Spain;policía;12;male;null;null;null;entry-level;False;True;;
viadeo;Spain;policía;13;male;null;null;null;entry-level;False;True;;
viadeo;Spain;policía;14;male;null;null;null;entry-level;False;True;;
viadeo;Spain;policía;15;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;policía;16;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;policía;17;male;null;null;null;entry-level;False;True;;
viadeo;Spain;policía;18;male;null;null;null;entry-level;False;True;;
viadeo;Spain;policía;19;male;null;null;null;entry-level;False;True;;
viadeo;Spain;piloto;0;unknown;null;null;null;null;False;True;;
viadeo;Spain;piloto;1;unknown;null;null;null;null;False;True;;
viadeo;Spain;piloto;2;female;null;null;null;null;False;True;;
viadeo;Spain;piloto;3;male;null;True;28.0;mid-level;False;True;;
viadeo;Spain;piloto;4;male;null;null;34.0;senior2-level;False;True;;
viadeo;Spain;piloto;5;male;null;null;null;entry-level;False;True;;
viadeo;Spain;piloto;6;female;null;null;null;senior2-level;False;True;;
viadeo;Spain;piloto;7;male;null;False;null;entry-level;False;True;;
viadeo;Spain;piloto;8;male;null;null;null;entry-level;False;True;;
viadeo;Spain;piloto;9;male;null;null;null;entry-level;False;True;;
viadeo;Spain;piloto;10;male;null;null;null;entry-level;False;True;;
viadeo;Spain;piloto;11;male;null;null;null;entry-level;False;True;;
viadeo;Spain;piloto;12;male;null;null;null;entry-level;False;True;;
viadeo;Spain;piloto;13;male;null;True;null;entry-level;False;True;;
viadeo;Spain;piloto;14;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;piloto;15;male;null;null;null;entry-level;False;True;;
viadeo;Spain;piloto;16;male;null;null;null;entry-level;False;True;;
viadeo;Spain;piloto;17;male;null;null;null;entry-level;False;True;;
viadeo;Spain;piloto;18;male;null;null;61.0;senior1-level;False;True;;
viadeo;Spain;piloto;19;female;null;null;25.0;entry-level;False;True;;
viadeo;Spain;periodista;0;unknown;null;True;null;senior1-level;False;True;;
viadeo;Spain;periodista;1;female;null;null;69.0;senior2-level;False;True;;
viadeo;Spain;periodista;2;female;null;null;43.0;senior2-level;False;True;;
viadeo;Spain;periodista;3;unknown;null;True;31.0;senior1-level;False;True;;
viadeo;Spain;periodista;4;male;null;null;36.0;senior2-level;False;True;;
viadeo;Spain;periodista;5;female;null;null;59.0;senior2-level;False;True;;
viadeo;Spain;periodista;6;female;null;null;48.0;senior1-level;False;True;;
viadeo;Spain;periodista;7;male;null;null;36.0;senior2-level;False;True;;
viadeo;Spain;periodista;8;male;null;null;43.0;senior2-level;False;True;;
viadeo;Spain;periodista;9;female;null;null;32.0;senior2-level;False;True;;
viadeo;Spain;periodista;10;unknown;null;null;null;senior2-level;False;True;;
viadeo;Spain;periodista;11;female;null;null;35.0;senior2-level;False;True;;
viadeo;Spain;periodista;12;male;null;null;56.0;senior2-level;False;True;;
viadeo;Spain;periodista;13;male;null;null;60.0;senior2-level;False;True;;
viadeo;Spain;periodista;14;male;null;True;40.0;senior2-level;False;True;;
viadeo;Spain;periodista;15;male;null;null;33.0;senior1-level;False;True;;
viadeo;Spain;periodista;16;female;null;False;32.0;senior2-level;False;True;;
viadeo;Spain;periodista;17;male;null;False;null;senior2-level;False;True;;
viadeo;Spain;periodista;18;female;null;null;null;entry-level;False;True;;
viadeo;Spain;periodista;19;female;null;null;45.0;senior2-level;False;True;;
viadeo;Spain;peluquero;0;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;peluquero;1;male;null;null;null;entry-level;False;True;;
viadeo;Spain;peluquero;2;male;null;null;38.0;senior2-level;False;True;;
viadeo;Spain;peluquero;3;male;null;null;null;entry-level;False;True;;
viadeo;Spain;peluquero;4;male;null;null;null;entry-level;False;True;;
viadeo;Spain;peluquero;5;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;peluquero;6;male;null;null;null;senior2-level;False;True;;
viadeo;Spain;peluquero;7;male;null;True;null;entry-level;False;True;;
viadeo;Spain;peluquero;8;male;null;False;null;senior1-level;False;True;;
viadeo;Spain;peluquero;9;male;null;null;null;senior1-level;False;True;;
viadeo;Spain;peluquero;10;male;null;null;null;entry-level;False;True;;
viadeo;Spain;peluquero;11;male;null;null;null;entry-level;False;True;;
viadeo;Spain;peluquero;12;male;null;True;null;entry-level;False;True;;
viadeo;Spain;peluquero;13;male;null;False;null;entry-level;False;True;;
viadeo;Spain;peluquero;14;male;null;True;null;entry-level;False;True;;
viadeo;Spain;peluquero;15;female;null;null;null;entry-level;False;True;;
viadeo;Spain;peluquero;16;female;null;null;null;senior2-level;False;True;;
viadeo;Spain;peluquero;17;female;null;null;null;entry-level;False;True;;
viadeo;Spain;peluquero;18;unknown;null;null;null;entry-level;False;True;;
viadeo;Spain;peluquero;19;female;null;null;null;entry-level;False;True;;
viadeo;Spain;músico;0;unknown;null;True;null;entry-level;False;True;;
viadeo;Spain;músico;1;female;null;null;null;null;False;True;;
viadeo;Spain;músico;2;male;null;False;null;null;False;True;;
viadeo;Spain;músico;3;male;null;null;null;entry-level;False;True;;
viadeo;Spain;músico;4;male;null;null;34.0;senior2-level;False;True;;
viadeo;Spain;músico;5;male;null;null;null;entry-level;False;True;;
viadeo;Spain;músico;6;female;null;null;null;entry-level;False;True;;
viadeo;Spain;músico;7;male;null;null;null;entry-level;False;True;;
viadeo;Spain;músico;8;male;null;False;null;senior2-level;False;True;;
viadeo;Spain;músico;9;male;null;null;null;entry-level;False;True;;
viadeo;Spain;músico;10;male;null;null;null;entry-level;False;True;;
viadeo;Spain;músico;11;male;null;False;null;entry-level;False;True;;
viadeo;Spain;músico;12;male;null;null;null;entry-level;False;True;;
viadeo;Spain;músico;13;male;null;True;null;entry-level;False;True;;
viadeo;Spain;músico;14;male;null;null;null;entry-level;False;True;;
viadeo;Spain;músico;15;male;null;null;null;entry-level;False;True;;
viadeo;Spain;músico;16;male;null;null;null;entry-level;False;True;;
viadeo;Spain;músico;17;male;null;null;null;entry-level;False;True;;
viadeo;Spain;músico;18;male;null;null;null;entry-level;False;True;;
viadeo;Spain;músico;19;male;null;null;null;entry-level;False;True;;
viadeo;Spain;médico;0;female;null;null;null;null;False;True;;
viadeo;Spain;médico;1;unknown;null;True;null;null;False;True;;
