source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo;
viadeo;France;écrivain;8;unknown;null;null;null;senior1-level;False;True;
viadeo;France;écrivain;9;unknown;null;True;null;entry-level;False;True;
viadeo;France;écrivain;10;unknown;null;True;null;senior2-level;False;True;
viadeo;France;écrivain;11;unknown;null;null;null;entry-level;False;True;
viadeo;France;écrivain;12;unknown;null;null;53.0;senior2-level;True;True;
viadeo;France;écrivain;13;male;null;null;null;null;True;True;
viadeo;France;écrivain;14;female;null;null;46.0;senior2-level;False;True;
viadeo;France;écrivain;15;male;null;null;55.0;senior2-level;False;True;
viadeo;France;écrivain;16;male;null;False;48.0;senior2-level;False;True;
viadeo;France;écrivain;17;female;null;False;63.0;senior2-level;False;True;
viadeo;France;écrivain;18;male;null;null;58.0;senior2-level;False;True;
viadeo;France;écrivain;19;male;null;null;null;senior2-level;False;True;
viadeo;France;infirmière;0;unknown;null;True;57.0;senior1-level;False;True;
viadeo;France;infirmière;1;female;null;null;27.0;senior2-level;True;True;
viadeo;France;infirmière;2;female;null;null;29.0;senior1-level;True;True;
viadeo;France;infirmière;3;female;null;null;50.0;senior2-level;False;True;
viadeo;France;infirmière;4;female;null;True;null;senior1-level;False;True;
viadeo;France;infirmière;5;female;null;True;34.0;senior2-level;False;True;
viadeo;France;infirmière;6;female;null;True;null;senior2-level;False;True;
viadeo;France;infirmière;7;female;null;False;null;entry-level;False;True;
viadeo;France;infirmière;8;female;null;null;48.0;senior2-level;False;True;
viadeo;France;infirmière;9;female;null;null;60.0;senior2-level;False;True;
viadeo;France;infirmière;10;female;null;False;37.0;senior2-level;False;True;
viadeo;France;infirmière;11;female;null;null;30.0;senior2-level;False;True;
viadeo;France;infirmière;12;female;null;null;59.0;senior2-level;False;True;
viadeo;France;infirmière;13;female;null;null;null;senior2-level;False;True;
viadeo;France;infirmière;14;female;null;null;38.0;senior2-level;False;True;
viadeo;France;infirmière;15;female;null;True;34.0;senior2-level;False;True;
viadeo;France;ingénieur;0;unknown;null;null;41.0;senior2-level;False;True;
viadeo;France;ingénieur;1;female;null;null;59.0;senior2-level;True;True;
viadeo;France;ingénieur;2;male;null;null;28.0;senior2-level;True;True;
viadeo;France;ingénieur;3;female;null;False;34.0;senior2-level;True;True;
viadeo;France;ingénieur;4;male;null;null;47.0;senior2-level;True;True;
viadeo;France;ingénieur;5;male;null;null;65.0;entry-level;True;True;
viadeo;France;ingénieur;6;female;null;null;null;senior2-level;True;True;
viadeo;France;ingénieur;7;male;null;null;45.0;senior2-level;True;True;
viadeo;France;ingénieur;8;male;null;null;48.0;senior2-level;True;True;
viadeo;France;ingénieur;9;male;null;False;54.0;senior2-level;True;True;
viadeo;France;ingénieur;10;male;null;False;35.0;senior1-level;False;True;
viadeo;France;ingénieur;11;male;null;False;43.0;senior2-level;False;True;
viadeo;France;ingénieur;12;female;null;True;null;senior2-level;False;True;
viadeo;France;ingénieur;13;male;null;True;36.0;senior2-level;False;True;
viadeo;France;ingénieur;14;male;null;null;null;senior2-level;False;True;
viadeo;France;ingénieur;15;male;null;null;32.0;senior2-level;False;True;
viadeo;France;ingénieur;16;male;null;null;32.0;senior2-level;False;True;
viadeo;France;ingénieur;17;unknown;null;False;31.0;senior1-level;False;True;
viadeo;France;ingénieur;18;male;null;null;null;senior2-level;False;True;
viadeo;France;ingénieur;19;male;null;null;41.0;senior2-level;False;True;
viadeo;France;instructeur;0;unknown;null;null;null;entry-level;False;True;
viadeo;France;instructeur;1;female;null;null;53.0;senior2-level;False;True;
viadeo;France;instructeur;2;male;null;True;40.0;senior2-level;False;True;
viadeo;France;instructeur;3;female;null;null;41.0;senior2-level;False;True;
viadeo;France;instructeur;4;male;null;null;60.0;senior2-level;False;True;
viadeo;France;instructeur;5;male;null;null;null;senior2-level;False;True;
viadeo;France;instructeur;6;male;null;null;48.0;senior2-level;False;True;
viadeo;France;instructeur;7;female;null;null;36.0;senior2-level;False;True;
viadeo;France;instructeur;8;female;null;False;29.0;senior2-level;False;True;
viadeo;France;instructeur;9;male;null;null;46.0;senior2-level;False;True;
viadeo;France;instructeur;10;female;null;null;null;senior2-level;False;True;
viadeo;France;instructeur;11;male;null;null;null;senior2-level;False;True;
viadeo;France;instructeur;12;female;null;False;null;entry-level;False;True;
viadeo;France;instructeur;13;female;null;null;39.0;senior2-level;False;True;
viadeo;France;instructeur;14;male;null;null;55.0;senior2-level;False;True;
viadeo;France;instructeur;15;female;null;null;39.0;senior2-level;False;True;
viadeo;France;instructeur;16;male;null;null;45.0;senior2-level;False;True;
viadeo;France;instructeur;17;female;null;null;32.0;mid-level;False;True;
viadeo;France;instructeur;18;male;null;True;null;entry-level;False;True;
viadeo;France;instructeur;19;male;null;null;null;senior2-level;False;True;
viadeo;France;jardinier;0;unknown;null;null;26.0;entry-level;False;True;
viadeo;France;jardinier;1;unknown;null;null;null;mid-level;False;True;
viadeo;France;jardinier;2;unknown;null;True;null;entry-level;False;True;
viadeo;France;jardinier;3;unknown;null;False;null;senior2-level;False;True;
viadeo;France;jardinier;4;unknown;null;True;null;null;False;True;
viadeo;France;jardinier;5;unknown;null;True;null;null;False;True;
viadeo;France;jardinier;6;unknown;null;True;null;senior1-level;False;True;
viadeo;France;jardinier;7;male;null;null;49.0;senior2-level;False;True;
viadeo;France;jardinier;8;female;null;null;27.0;senior2-level;False;True;
viadeo;France;jardinier;9;male;null;null;44.0;senior2-level;False;True;
viadeo;France;jardinier;10;unknown;null;False;null;senior2-level;False;True;
viadeo;France;jardinier;11;female;null;null;39.0;senior1-level;False;True;
viadeo;France;jardinier;12;male;null;null;30.0;senior2-level;False;True;
viadeo;France;jardinier;13;unknown;null;null;33.0;senior2-level;False;True;
viadeo;France;jardinier;14;male;null;null;28.0;senior2-level;False;True;
viadeo;France;jardinier;15;male;null;null;58.0;null;False;True;
