source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo
linkedin;United Kigndom;instructor;0;female;null;null;49.0;senior2-level;False;True
linkedin;United Kigndom;instructor;1;male;null;null;null;senior2-level;False;True
linkedin;United Kigndom;instructor;2;female;null;null;null;senior1-level;False;False
linkedin;United Kigndom;instructor;3;female;null;null;44.0;mid-level;False;False
linkedin;United Kigndom;instructor;4;female;null;null;null;senior2-level;False;False
linkedin;United Kigndom;instructor;5;male;null;null;43.0;mid-level;False;False
linkedin;United Kigndom;instructor;6;male;null;null;39.0;senior1-level;False;True
linkedin;United Kigndom;instructor;7;female;null;null;null;senior1-level;False;False
linkedin;United Kigndom;instructor;8;unknown;null;null;null;senior2-level;False;False
linkedin;United Kigndom;instructor;9;female;null;null;null;mid-level;False;False
linkedin;United Kigndom;instructor;10;female;null;null;36.0;senior1-level;False;False
linkedin;United Kigndom;instructor;11;female;null;null;21.0;entry-level;False;True
linkedin;United Kigndom;instructor;12;unknown;null;null;40.0;senior2-level;False;False
linkedin;United Kigndom;instructor;13;male;null;null;35.0;mid-level;False;False
linkedin;United Kigndom;instructor;14;male;null;null;29.0;senior2-level;False;False
linkedin;United Kigndom;instructor;15;male;null;null;null;senior2-level;False;False
linkedin;United Kigndom;instructor;16;unknown;null;null;32.0;senior1-level;False;True
linkedin;United Kigndom;instructor;17;male;null;null;40.0;senior2-level;False;False
linkedin;United Kigndom;instructor;18;female;null;null;null;senior2-level;False;False
linkedin;United Kigndom;instructor;19;male;null;null;null;senior2-level;False;True
linkedin;United Kigndom;instructor;20;male;null;null;26.0;senior1-level;False;True
linkedin;United Kigndom;instructor;21;unknown;null;null;21.0;entry-level;False;True
linkedin;United Kigndom;instructor;22;male;null;null;null;mid-level;False;False
linkedin;United Kigndom;instructor;23;male;null;null;null;senior1-level;False;False
linkedin;United Kigndom;instructor;24;female;null;null;36.0;senior1-level;False;False
linkedin;United Kigndom;judge;0;female;null;False;null;senior2-level;False;True
linkedin;United Kigndom;judge;1;male;null;True;35.0;mid-level;False;True
linkedin;United Kigndom;judge;2;male;null;False;67.0;senior2-level;False;False
linkedin;United Kigndom;judge;3;male;null;False;null;senior2-level;True;True
linkedin;United Kigndom;judge;4;unknown;null;False;null;entry-level;False;False
linkedin;United Kigndom;judge;5;female;null;True;31.0;mid-level;False;True
linkedin;United Kigndom;judge;6;female;null;True;69.0;senior2-level;False;True
linkedin;United Kigndom;judge;7;male;null;False;40.0;senior2-level;False;False
linkedin;United Kigndom;judge;8;female;null;False;43.0;senior2-level;False;False
linkedin;United Kigndom;judge;9;unknown;null;False;53.0;senior2-level;False;True
linkedin;United Kigndom;judge;10;male;null;False;47.0;senior2-level;False;True
linkedin;United Kigndom;judge;11;male;null;False;41.0;senior2-level;False;False
linkedin;United Kigndom;judge;12;male;null;False;64.0;senior2-level;False;True
linkedin;United Kigndom;judge;13;female;null;False;68.0;senior2-level;False;True
linkedin;United Kigndom;judge;14;male;null;True;42.0;senior2-level;False;False
linkedin;United Kigndom;judge;15;male;null;True;46.0;senior2-level;False;True
linkedin;United Kigndom;judge;16;male;null;True;65.0;senior2-level;False;True
linkedin;United Kigndom;judge;17;female;null;False;null;senior2-level;False;True
