source;country;query;#;gender;ethnicity;Is_foreigner;age;experience_level;is_premium;has_photo;
viadeo;France;musicien;17;male;nan;False;nan;amateur-level;False;True;
viadeo;France;musicien;18;male;nan;None;33.0;senior-level;False;True;
viadeo;France;musicien;19;male;nan;None;nan;entry-level;False;True;
viadeo;France;ingénieur;0;unknown;nan;None;41.0;amateur-level;False;True;
viadeo;France;ingénieur;1;female;nan;None;59.0;amateur-level;True;True;
viadeo;France;ingénieur;2;male;nan;None;28.0;amateur-level;True;True;
viadeo;France;ingénieur;3;female;nan;False;34.0;amateur-level;True;True;
viadeo;France;ingénieur;4;male;nan;None;47.0;amateur-level;True;True;
viadeo;France;ingénieur;5;male;nan;None;65.0;entry-level;True;True;
viadeo;France;ingénieur;6;female;nan;None;nan;amateur-level;True;True;
viadeo;France;ingénieur;7;male;nan;None;45.0;amateur-level;True;True;
viadeo;France;ingénieur;8;male;nan;None;48.0;amateur-level;True;True;
viadeo;France;ingénieur;9;male;nan;False;54.0;amateur-level;True;True;
viadeo;France;ingénieur;10;male;nan;False;35.0;senior-level;False;True;
viadeo;France;ingénieur;11;male;nan;False;43.0;amateur-level;False;True;
viadeo;France;ingénieur;12;female;nan;True;nan;amateur-level;False;True;
viadeo;France;ingénieur;13;male;nan;True;36.0;amateur-level;False;True;
viadeo;France;ingénieur;14;male;nan;None;nan;amateur-level;False;True;
viadeo;France;ingénieur;15;male;nan;None;32.0;amateur-level;False;True;
viadeo;France;ingénieur;16;male;nan;None;32.0;amateur-level;False;True;
viadeo;France;ingénieur;17;unknown;nan;False;31.0;senior-level;False;True;
viadeo;France;ingénieur;18;male;nan;None;nan;amateur-level;False;True;
viadeo;France;ingénieur;19;male;nan;None;41.0;amateur-level;False;True;
viadeo;France;pharmacien;0;unknown;nan;False;nan;entry-level;False;True;
viadeo;France;pharmacien;1;unknown;nan;None;42.0;amateur-level;False;True;
viadeo;France;pharmacien;2;male;nan;None;44.0;amateur-level;True;True;
viadeo;France;pharmacien;3;female;nan;None;33.0;mid-level;False;True;
viadeo;France;pharmacien;4;female;nan;None;58.0;amateur-level;True;True;
viadeo;France;pharmacien;5;female;nan;None;47.0;senior-level;True;True;
viadeo;France;pharmacien;6;female;nan;False;37.0;amateur-level;False;True;
viadeo;France;pharmacien;7;male;nan;None;nan;amateur-level;False;True;
viadeo;France;pharmacien;8;female;nan;True;nan;amateur-level;False;True;
viadeo;France;pharmacien;9;female;nan;False;nan;senior-level;False;True;
viadeo;France;pharmacien;10;female;nan;False;35.0;amateur-level;False;True;
viadeo;France;pharmacien;11;male;nan;None;46.0;senior-level;False;True;
viadeo;France;pharmacien;12;male;nan;None;38.0;entry-level;False;True;
viadeo;France;pharmacien;13;male;nan;True;43.0;amateur-level;False;True;
viadeo;France;pharmacien;14;female;nan;True;45.0;amateur-level;False;True;
viadeo;France;pharmacien;15;female;nan;None;58.0;amateur-level;False;True;
viadeo;France;pharmacien;16;female;nan;None;nan;amateur-level;False;True;
viadeo;France;pharmacien;17;male;nan;None;66.0;amateur-level;False;True;
viadeo;France;pharmacien;18;unknown;nan;None;37.0;amateur-level;False;True;
viadeo;France;pharmacien;19;female;nan;None;38.0;senior-level;False;True;
viadeo;France;psychologue;0;unknown;nan;True;nan;entry-level;False;True;
viadeo;France;psychologue;1;unknown;nan;False;nan;None;False;True;
viadeo;France;psychologue;2;unknown;nan;True;nan;amateur-level;False;True;
viadeo;France;psychologue;3;unknown;nan;None;nan;senior-level;False;True;
viadeo;France;psychologue;4;unknown;nan;False;nan;entry-level;False;True;
viadeo;France;psychologue;5;unknown;nan;None;32.0;amateur-level;False;True;
viadeo;France;psychologue;6;female;nan;None;62.0;amateur-level;False;True;
viadeo;France;psychologue;7;male;nan;None;27.0;amateur-level;False;True;
viadeo;France;psychologue;8;female;nan;None;48.0;amateur-level;False;True;
viadeo;France;psychologue;9;female;nan;None;34.0;amateur-level;False;True;
viadeo;France;psychologue;10;unknown;nan;None;nan;None;False;True;
viadeo;France;psychologue;11;male;nan;None;58.0;entry-level;True;True;
viadeo;France;psychologue;12;female;nan;None;48.0;amateur-level;True;True;
viadeo;France;psychologue;13;female;nan;None;48.0;None;True;True;
viadeo;France;psychologue;14;female;nan;None;nan;amateur-level;True;True;
viadeo;France;psychologue;15;female;nan;None;30.0;senior-level;True;True;
viadeo;France;psychologue;16;female;nan;True;46.0;amateur-level;True;True;
viadeo;France;psychologue;17;female;nan;None;31.0;amateur-level;True;True;
viadeo;France;psychologue;18;male;nan;None;36.0;amateur-level;False;True;
viadeo;France;psychologue;19;female;nan;None;34.0;amateur-level;True;True;
viadeo;France;designer;0;unknown;nan;True;35.0;entry-level;False;True;
viadeo;France;designer;1;unknown;nan;True;33.0;None;False;True;
viadeo;France;designer;2;unknown;nan;True;nan;entry-level;False;True;
viadeo;France;designer;3;unknown;nan;True;32.0;amateur-level;False;True;
viadeo;France;designer;4;unknown;nan;True;nan;amateur-level;False;True;
