source;country;speciality;#;gender;ethnicity;Is_foreigner;age;experience_level;was_awarded;has_photo;num_stars;num_reviews
top doctors;Spain;oftalmologia infantil especialidad;5;male;hispanic;False;47.0;senior2-level;False;True;5.0;6
top doctors;Spain;oftalmologia infantil especialidad;6;female;hispanic;False;null;senior2-level;False;True;5.0;7
top doctors;Spain;oftalmologia infantil especialidad;7;female;hispanic;False;38.0;senior2-level;False;True;5.0;4
top doctors;Spain;oftalmologia;0;male;hispanic;False;44.0;senior2-level;False;True;5.0;8
top doctors;Spain;oftalmologia;1;male;hispanic;False;44.0;senior2-level;False;True;5.0;5
top doctors;Spain;oftalmologia;2;male;hispanic;False;20.0;senior2-level;False;True;5.0;4
top doctors;Spain;oftalmologia;3;male;hispanic;False;56.0;senior2-level;False;True;0.0;0
top doctors;Spain;oftalmologia;4;male;hispanic;False;53.0;senior2-level;False;True;4.0;1
top doctors;Spain;oftalmologia;5;male;hispanic;False;57.0;senior2-level;False;True;5.0;10
top doctors;Spain;oftalmologia;6;male;hispanic;False;55.0;null;False;True;5.0;4
top doctors;Spain;oftalmologia;7;female;hispanic;False;48.0;senior2-level;False;True;5.0;14
top doctors;Spain;oftalmologia;8;female;hispanic;False;null;senior2-level;True;True;0.0;0
top doctors;Spain;oftalmologia;8;male;hispanic;False;52.0;senior2-level;False;True;5.0;26
top doctors;Spain;oftalmologia;9;male;hispanic;False;null;senior2-level;False;True;5.0;11
top doctors;Spain;oftalmologia;10;male;hispanic;False;30.0;null;False;True;5.0;2
top doctors;Spain;oftalmologia;12;male;hispanic-chinese;False;51.0;senior2-level;False;True;5.0;9
top doctors;Spain;oftalmologia;13;female;hispanic-arab;False;37.0;null;False;True;0.0;0
top doctors;Spain;oftalmologia;14;male;hispanic;False;52.0;senior2-level;False;True;5.0;10
top doctors;Spain;oftalmologia;15;male;hispanic;False;42.0;senior2-level;False;True;5.0;23
top doctors;Spain;oftalmologia;16;female;hispanic;False;null;senior2-level;False;True;5.0;7
top doctors;Spain;oftalmologia;17;male;hispanic;False;47.0;senior2-level;False;True;5.0;14
top doctors;Spain;oftalmologia;18;male;hispanic;False;44.0;senior2-level;False;True;5.0;1
top doctors;Spain;oftalmologia;19;male;hispanic;False;52.0;senior2-level;False;True;5.0;2
top doctors;Spain;odontologia y estomatologia;0;female;hispanic;False;30.0;null;False;True;0.0;0
top doctors;Spain;odontologia y estomatologia;1;male;hispanic;False;36.0;null;False;True;0.0;0
top doctors;Spain;odontologia y estomatologia;2;female;hispanic;False;26.0;null;False;True;0.0;0
top doctors;Spain;odontologia y estomatologia;2;male;dutch-english;True;44.0;senior2-level;False;True;5.0;1
top doctors;Spain;odontologia y estomatologia;3;male;hispanic;False;61.0;null;False;True;0.0;0
top doctors;Spain;odontologia y estomatologia;4;female;hispanic;False;null;senior2-level;False;True;5.0;3
top doctors;Spain;odontologia y estomatologia;4;female;french-italian;True;30.0;senior2-level;False;True;0.0;0
top doctors;Spain;odontologia y estomatologia;5;male;hispanic;False;null;null;False;True;0.0;0
top doctors;Spain;odontologia y estomatologia;6;male;hispanic;False;43.0;senior2-level;False;True;5.0;7
top doctors;Spain;odontologia y estomatologia;7;female;unknown;True;null;senior2-level;False;True;5.0;1
top doctors;Spain;odontologia y estomatologia;8;female;hispanic;False;20.0;null;False;True;0.0;0
top doctors;Spain;odontologia y estomatologia;9;male;hispanic;False;34.0;null;False;True;5.0;1
top doctors;Spain;odontologia y estomatologia;9;female;dutch;True;29.0;senior2-level;False;True;5.0;3
top doctors;Spain;odontologia y estomatologia;10;female;german;True;20.0;null;False;True;0.0;0
